,TH,KTY,Khlong Toei,Khlong Toei,10,RL,123-----,0501,,1343N 10034E,
,TH,KLY,Khlong Yai,Khlong Yai,23,RL,1-3-----,0401,,1146N 10254E,
,TH,KKM,Khok Kathiam Apt,Khok Kathiam Apt,16,AA,---4----,1507,,1452N 10040E,
,TH,KHB,Khon Buri,Khon Buri,30,RQ,--3-----,1007,,1431N 10215E,
,TH,KKC,Khon Kaen,Khon Kaen,40,AI,-234-6--,1001,,1626N 10250E,
,TH,KLT,Klong Toei,Klong Toei,31,RL,--3-----,1207,,1343N 10034E,
,TH,KTL,Klong Toey,Klong Toey,10,RL,1-3-----,1301,,1342N 10035E,
+,TH,KSM,Ko Samui,Ko Samui,84,AA,1-------,1601,,0932N 09956E,
,TH,KLA,Koh Lanta,Koh Lanta,,QQ,1-------,8103,,,
,TH,KNO,Koh Nok,Koh Nok,,QQ,1-------,8103,,,
,TH,KSI,Koh Sichang,Koh Sichang,,QQ,1-------,8103,,,
,TH,KYO,Koh Yao,Koh Yao,,QQ,1-------,8103,,,
,TH,KBV,Krabi,Krabi,,AI,1--4----,9601,,,
,TH,KRN,Krathum Baen,Krathum Baen,74,RL,--3-----,0307,,1339N 10016E,
,TH,LCH,Laem Chabang,Laem Chabang,20,RL,1-3-----,0401,,1305N 10053E,
,TH,LPT,Lampang Apt,Lampang Apt,52,AA,---4----,1507,,1816N 09930E,
,TH,LPN,Lamphun,Lamphun,51,RL,--3-----,0901,,1835N 09901E,
,TH,LAS,Lang Suan,Lang Suan,,QQ,1-------,8103,,,
,TH,LKR,Lat Krabang,Lat Krabang,10,RL,123-----,0701,,,
,TH,LOE,Loei Apt,Loei Apt,42,AA,---4----,1507,,1726N 10143E,
,TH,MAT,Mab Tapud,Mab Tapud,,RQ,1-------,9506,,,
,TH,CEI,Mae Fah Luang - Chiang Rai International Apt,Mae Fah Luang - Chiang Rai International Apt,57,AA,---4----,1507,,1957N 09953E,
,TH,HGN,Mae Hong Son Apt,Mae Hong Son Apt,58,AA,---4----,1507,,1918N 09759E,
+,TH,MAS,Mae Sariang Customs House,Mae Sariang Customs House,58,AA,--3-----,1601,,1810N 09757E,
,TH,MAQ,Mae Sot Apt,Mae Sot Apt,63,AA,---4----,1507,,1642N 09833E,
,TH,MSM,Maha Sarakham,Maha Sarakham,22,RL,--3-----,0901,,1611N 10318E,
,TH,MEK,Meklong,Meklong,,QQ,1-------,8103,,,
,TH,MIN,Min Buri,Min Buri,10,RL,--3-----,0901,,1349N 10044E,
,TH,MDN,Mukdahan,Mukdahan,21,RQ,--3-----,0901,,1632N 10443E,
+,TH,MDH,Mukdahan Customs House,Mukdahan Customs House,49,AA,--3-----,1601,,1636N 10444E,
,TH,HON,Nakhon Chai Si,Nakhon Chai Si,73,RL,-----6--,1201,,1348N 10011E,
,TH,NNK,Nakhon Nayok,Nakhon Nayok,35,RQ,--3-----,0901,,1412N 10112E,
,TH,NPM,Nakhon Pathom,Nakhon Pathom,,RL,--3-----,0201,,1349N 10003E,
#,TH,KOP,Nakhon Phanom Apt,Nakhon Phanom Apt,48,AA,---4----,1601,,1723N 10439E,@Sta@Sub@Coo
,TH,NAK,Nakhon Ratchasima Apt,Nakhon Ratchasima Apt,30,AA,---4----,1507,,1457N 10219E,
,TH,NSA,Nakhon Sawan,Nakhon Sawan,60,RL,-23-----,0307,,1541N 10007E,
,TH,NST,Nakhon Si Thammarat,Nakhon Si Thammarat,,RL,1-34----,0201,,0825N 09957E,
,TH,NNT,Nan Nakhon Apt,Nan Nakhon Apt,55,AA,---4----,1507,,1848N 10047E,
+,TH,NRW,Narathiwat,Narathiwat,96,AA,1-------,1601,,0625N 10149E,
#,TH,NAW,Narathiwat Apt,Narathiwat Apt,96,AA,---4----,1601,,0631N 10145E,@Fun@Sta@Sub@Coo
,TH,NIM,Nim Port,Nim Port,10,RQ,1-------,0212,,,
,TH,NBO,Nong Bua Lamphu,Nong Bua Lamphu,,RL,--3-----,0307,,1710N 10234E,
,TH,NGK,Nong Khae,Nong Khae,19,RL,--3-----,1301,,1420N 10052E,
,TH,NON,Nong Khaem,Nong Khaem,,RL,--3-----,0307,,1341N 10021E,
,TH,QJX,Nong Khai,Nong Khai,43,AI,--345---,0401,,1752N 10244E,
,TH,NYP,Nong Ya Plong,Nong Ya Plong,22,RL,-----6--,0901,,1309N 09942E,
,TH,NTB,Nonthaburi,Nonthaburi,12,RL,-23-----,0501,,1350N 10029E,
,TH,PDB,Padang Besar(Siamese Town),Padang Besar(Siamese Town),,RQ,123-----,1001,,0639N 10019E,
,TH,PAI,Pai,Pai,58,RQ,--3-----,0901,,1919N 09827E,
+,TH,PYY,Pai Apt,Pai Apt,58,AA,---4----,1601,,1922N 09826E,
,TH,PCH,Pak Chong,Pak Chong,,RL,-23-----,0607,,1441N 10125E,
,TH,PKR,Pak Kret,Pak Kret,12,RL,--3-----,0307,,1355N 10030E,
,TH,PKB,Pakbara,Pakbara,,QQ,1-------,8103,,,
,TH,PKN,Paknam,Paknam,,QQ,1-------,8103,,,
,TH,PKP,Pakpanang,Pakpanang,,QQ,1-------,8103,,,
,TH,PAT,Pat Bangkok,Pat Bangkok,,RL,--3-----,0201,,1342N 10034E,
,TH,PTH,Pathum Thani,Pathum Thani,13,RL,--3-----,0401,,1401N 10032E,
,TH,PBS,Patong Beach,Patong Beach,,AI,---4----,0001,,,
+,TH,PTN,Pattani,Pattani,94,AA,1-------,1601,,0653N 10116E,
#,TH,PAN,Pattani Apt,Pattani Apt,94,AA,---4----,1601,,0647N 10109E,@Fun@Sta@Sub@Coo
,TH,PYX,Pattaya,Pattaya,20,RL,-234----,0907,,1256N 10053E,
,TH,PCT,Petchaburi,Petchaburi,22,RL,-----6--,0901,,1305N 09957E,
+,TH,PYT,Phahon Yothin Customs House,Phahon Yothin Customs House,10,AA,12------,1601,,1348N 10032E,
,TH,PHT,Phan Thong,Phan Thong,20,RL,--3-----,0307,,1328N 10106E,
,TH,PHA,Phangnga,Phangnga,,QQ,1-------,8103,,,
,TH,PMM,Phanom Sarakham,Phanom Sarakham,,AI,---4----,0001,,,
,TH,PTG,Phatthalung,Phatthalung,64,RQ,--3-----,0901,,0737N 10004E,
,TH,PYO,Phayao,Phayao,50,RQ,--3-----,0901,,1910N 09954E,
,TH,PHE,Phet Buri,Phet Buri,76,RL,-23-----,0307,,1306N 09957E,
,TH,PCN,Phetchabun,Phetchabun,12,RQ,--3-----,0901,,1625N 10109E,
+,TH,PHY,Phetchabun Apt,Phetchabun Apt,67,AA,---4----,1601,,1641N 10112E,
,TH,PHZ,Phi Phi Island,Phi Phi Island,,AI,---4----,0001,,,
,TH,PBM,Phibun Mangsahan,Phibun Mangsahan,,RL,--3-----,0201,,1515N 10514E,
,TH,PHI,Phichit,Phichit,12,RQ,--3-----,0901,,1626N 10020E,
,TH,PHS,Phitsanulok Apt,Phitsanulok Apt,65,AA,---4----,1507,,1647N 10017E,
,TH,PTR,Photharam,Photharam,70,RL,123-----,0501,,1341N 09951E,
,TH,KRU,Phra Khanong,Phra Khanong,10,RL,1-3-----,1401,,1342N 10036E,
,TH,PNA,Phra Nakhon si Ayutthaya,Phra Nakhon si Ayutthaya,,RQ,--3-----,9901,,,
,TH,PRG,Phra Pradaeng,Phra Pradaeng,11,RL,--3-----,0307,,1340N 10032E,
,TH,PPA,Phra Pradeng,Phra Pradeng,,RL,1-3-----,9805,,,
,TH,PRH,Phrae Apt,Phrae Apt,54,AA,---4----,1507,,1808N 10010E,
,TH,HKT,Phuket,Phuket,,AI,1--4----,9601,,,
+,TH,PHK,Phuket Customs House,Phuket Customs House,83,AA,1-3-----,1601,,0752N 09824E,
,TH,PLA,Platong,Platong,,RQ,1-------,0907,,0939N 10128E,
,TH,PDG,Pluak Daeng,Pluak Daeng,21,RL,--3-----,0901,,1258N 10113E,
,TH,PNB,Prachin Buri,Prachin Buri,40,RQ,--3-----,0901,,1403N 10122E,
,TH,PKK,Prachuap Khiri Khan,Prachuap Khiri Khan,77,RL,-23-----,0307,,1149N 09948E,
,TH,PBR,Pran Buri,Pran Buri,77,RL,--3-----,1207,,1223N 09955E,
+,TH,RNN,Ranong,Ranong,85,AA,1-------,1601,,0958N 09838E,
#,TH,UNN,Ranong Apt,Ranong Apt,85,AA,---4----,1601,,0947N 09835E,@Fun@Sta@Sub@Coo
,TH,RAT,Ratchaburi,Ratchaburi,70,RL,-23-----,0501,,1332N 09948E,
,TH,RYG,Rayong,Rayong,,RL,--3-----,0101,,,
,TH,ROI,Roi Et Apt,Roi Et Apt,45,AA,---4----,1507,,1607N 10346E,
,TH,RVT,Rubicon Vantage FPSO,Rubicon Vantage FPSO,,RQ,------7-,1001,,1031N 10017E,
+,TH,SAO,Sadao Customs House,Sadao Customs House,90,AA,-23-----,1601,,0633N 10025E,
,TH,SCS,Sahathai Coastal Seaport,Sahathai Coastal Seaport,11,RQ,1-3-----,1207,,1339N 10032E,
,TH,SUP,Sai Buri,Sai Buri,94,RL,-----6--,0901,,0642N 10137E,
,TH,SNO,Sakon Nakhon Apt,Sakon Nakhon Apt,47,AA,---4----,1507,,1712N 10407E,
,TH,SAN,Sam Phran,Sam Phran,73,RL,--3-----,0307,,1343N 10013E,
,TH,SAM,Samphanthawong,Samphanthawong,,RL,-23-----,0307,,1344N 10030E,
#,TH,USM,Samui Apt,Samui Apt,84,AA,---4----,1601,,0933N 10004E,@Fun@Sta@Sub@Coo
,TH,SAS,Samulsakom,Samulsakom,10,RQ,--3-----,0901,,,
,TH,SAP,Samut Prakan,Samut Prakan,11,RQ,-----6--,1001,,1336N 10036E,
,TH,SPS,Samut Prakan Sahathai Terminal,Samut Prakan Sahathai Terminal,11,RL,1----6--,1201,,1340N 10032E,
,TH,SPR,Samut Prakarn,Samut Prakarn,,RQ,0-------,1407,,,
,TH,SAU,"Samut Sakhon, Changwat","Samut Sakhon, Changwat",74,RL,-23-----,0407,,1335N 10018E,
,TH,SSN,Samut Sakorn,Samut Sakorn,74,RQ,-----6--,1007,,,
,TH,SSM,Samut Songkhram,Samut Songkhram,40,RQ,--3-----,0901,,1324N 10000E,
,TH,SPK,Samuthprakarn,Samuthprakarn,11,RQ,--3-----,1001,,1336N 10036E,
+,TH,SBR,Sangkhla Buri Customs House,Sangkhla Buri Customs House,71,AA,--3-----,1601,,1511N 09828E,
,TH,SBI,Sara Buri,Sara Buri,,RL,--3-----,0201,,1430N 10055E,
,TH,STH,Sathun,Sathun,,RL,1-3-----,0307,,0642N 09938E,
,TH,SAT,Sattahip,Sattahip,,QQ,1-------,8103,,,
,TH,SNT,Satun,Satun,84,RL,--3-----,0307,,0637N 10004E,
,TH,SIR,Si Racha,Si Racha,20,RL,123--6--,0507,,1310N 10056E,
,TH,SBP,Siam Bangkok Port,Siam Bangkok Port,,RL,1-3-----,0201,,1339N 10033E,
,TH,SCT,Siam Container Terminal,Siam Container Terminal,11,RQ,1-3-----,0901,,,
,TH,SIC,Sichol,Sichol,,QQ,1-------,8103,,,
,TH,SIB,Sing Buri,Sing Buri,17,RQ,--3-----,0901,,1453N 10024E,
,TH,SSK,Sisaket,Sisaket,71,RQ,--3-----,0901,,1506N 10419E,
,TH,SGZ,Songkhla,Songkhla,90,AI,1-34----,0401,,0712N 10036E,
,TH,SKW,Sre Kaew,Sre Kaew,,RQ,--3-----,9901,,,
,TH,SRI,Sriracha,Sriracha,,QQ,1-------,8103,,,
,TH,THS,Sukhothai Apt,Sukhothai Apt,64,AA,---4----,1507,,1714N 09949E,
+,TH,SKL,Su-ngai Kolok Customs House,Su-ngai Kolok Customs House,96,AA,--3-----,1601,,0602N 10158E,
,TH,SUB,Suphan Buri,Suphan Buri,72,RQ,--3-----,0901,,1428N 10007E,
,TH,URT,Surat Thani Apt,Surat Thani Apt,84,AA,---4----,1507,,0908N 09908E,
,TH,SNR,Surin,Surin,32,RL,--3-----,0307,,1449N 10325E,
,TH,SIA,Suvarnabhumi International Apt,Suvarnabhumi International Apt,11,RL,--34----,0901,,1343N 10047E,
,TH,TAC,Ta-Chalaeb,Ta-Chalaeb,,QQ,1-------,8103,,,
,TH,TKT,Tak Apt,Tak Apt,63,AA,---4----,1507,,1654N 09915E,
+,TH,TAB,Tak Bai Customs House,Tak Bai Customs House,96,AA,1-3-----,1601,,0615N 10203E,
,TH,TKH,Takhli Apt,Takhli Apt,60,AA,---4----,1507,,1517N 10018E,
,TH,TTE,Tantawan Terminal,Tantawan Terminal,,RL,------7-,0907,,1005N 10125E,
+,TH,THL,Tha Li Customs House,Tha Li Customs House,42,AA,--3-----,1601,,1741N 10124E,
,TH,THA,Tha Sala,Tha Sala,,QQ,1-------,8103,,,
,TH,TPT,Thai prosperity terminal,Thai prosperity terminal,,RQ,--3-----,9705,,,
+,TH,TCH,Thung Chang Customs House,Thung Chang Customs House,55,AA,--3-----,1601,,1931N 10055E,
,TH,CCP,Tips Container Terminal,Tips Container Terminal,10,RL,--3-----,1407,,1306N 10053E,
+,TH,TRG,Trang,Trang,92,AA,1-------,1601,,0733N 09936E,
#,TH,TST,Trang Apt,Trang Apt,92,AA,---4----,1601,,0731N 09937E,@Fun@Sta@Sub@Coo
,TH,TRT,Trat,Trat,23,RQ,--3-----,0901,,1214N 10230E,
+,TH,TDX,Trat Apt,Trat Apt,23,AA,---4----,1601,,1217N 10219E,
,TH,TPP,Tungprong Pt,Tungprong Pt,20,RQ,1-------,0901,,1242N 10050E,
,TH,UBP,Ubon Ratchathani Apt,Ubon Ratchathani Apt,34,AA,---4----,1507,,1515N 10452E,
,TH,UTH,Udon Thani Apt,Udon Thani Apt,41,AA,---4----,1507,,1723N 10247E,
,TH,UCT,Unithai Container Terminal,Unithai Container Terminal,,RQ,1-3-----,9906,,,Near Samat Prakarn
,TH,UTP,U-Tapao Rayong Pattaya International Apt,U-Tapao Rayong Pattaya International Apt,21,AA,---4----,1507,,1241N 10100E,
,TH,UTR,Uttaradit,Uttaradit,,AI,---4----,0001,,,
,TH,YAL,Yala,Yala,,RL,--3-----,0001,,,
,TH,YAN,Yan Nawa,Yan Nawa,10,RL,--3-----,1301,,1343N 10032E,
,TH,YNT,Yasothon,Yasothon,35,RL,--3-----,0307,,1547N 10408E,
